sex,province,feelings_life,education,political_pref,religion_participation,age,income_family
Male,Ontario,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,56,"Less than $25,000"
Male,Ontario,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),At least once a year,40,"$100,000 to $ 124,999"
Male,Ontario,Fairly satisfied,"University certificate, diploma or degree above the bach...","(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a year,34,"$100,000 to $ 124,999"
Male,Ontario,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a week,25,"$125,000 and more"
Female,Ontario,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a year,26,"$100,000 to $ 124,999"
Male,Ontario,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...",Liberal (Grits),Not at all,55,"$$75,000 to $99,999"
Male,Ontario,Fairly satisfied,"University certificate, diploma or degree above the bach...","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,30,"$125,000 and more"
Female,Ontario,Very satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),At least once a year,59,"$50,000 to $74,999"
Male,Ontario,Not very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Green Party (Greens),Not at all,41,"$$75,000 to $99,999"
Male,Ontario,Not very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a year,22,"$25,000 to $49,999"
Male,Ontario,Very satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),At least once a month,46,"$$75,000 to $99,999"
Female,Ontario,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),Not at all,50,"$$75,000 to $99,999"
Male,Ontario,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),Not at all,48,"$125,000 and more"
Male,Ontario,Fairly satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),At least once a year,35,"$125,000 and more"
Male,Ontario,Very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),Not at all,29,"$$75,000 to $99,999"
Female,Ontario,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a month,30,"$100,000 to $ 124,999"
Male,British Columbia,Not satisfied at all,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a month,56,"$50,000 to $74,999"
Male,British Columbia,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,42,"$100,000 to $ 124,999"
Male,British Columbia,Fairly satisfied,Less than high school diploma or its equivalent,Green Party (Greens),Not at all,41,"$25,000 to $49,999"
Female,British Columbia,Not very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Green Party (Greens),Not at all,59,"$$75,000 to $99,999"
Male,British Columbia,Fairly satisfied,"University certificate, diploma or degree above the bach...","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,39,"$$75,000 to $99,999"
Female,British Columbia,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,50,"$50,000 to $74,999"
Male,Ontario,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a month,49,"$125,000 and more"
Male,British Columbia,Fairly satisfied,University certificate or diploma below the bachelor's level,Liberal (Grits),At least once a year,50,"$$75,000 to $99,999"
Male,British Columbia,Fairly satisfied,High school diploma or a high school equivalency certificate,Liberal (Grits),Not at all,43,"$125,000 and more"
Female,British Columbia,Very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),Not at all,26,"$25,000 to $49,999"
Male,British Columbia,Very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Green Party (Greens),Not at all,56,"$125,000 and more"
Female,British Columbia,Very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...",Liberal (Grits),Not at all,36,"$25,000 to $49,999"
Male,British Columbia,Not very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),Not at all,30,"$100,000 to $ 124,999"
Female,British Columbia,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),Not at all,25,"$50,000 to $74,999"
Male,Alberta,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a month,22,"$25,000 to $49,999"
Male,Alberta,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,56,"$50,000 to $74,999"
Male,Alberta,Not very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a week,53,"$125,000 and more"
Male,Alberta,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),At least once a year,36,"$125,000 and more"
Female,Alberta,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...",Green Party (Greens),Not at all,50,"$125,000 and more"
Male,Alberta,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,62,"$125,000 and more"
Male,Alberta,Very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a week,65,"$125,000 and more"
Male,Alberta,Fairly satisfied,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a week,30,"$$75,000 to $99,999"
Female,Alberta,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...",Liberal (Grits),Not at all,55,"$125,000 and more"
Male,Alberta,Not very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,62,"$$75,000 to $99,999"
Male,Alberta,Very satisfied,Less than high school diploma or its equivalent,"Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,43,"$125,000 and more"
Male,Alberta,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,59,"$125,000 and more"
Male,Alberta,Not satisfied at all,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,33,"Less than $25,000"
Male,Alberta,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),At least once a month,51,"$125,000 and more"
Male,Alberta,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),Not at all,28,"$$75,000 to $99,999"
Male,Alberta,Not satisfied at all,University certificate or diploma below the bachelor's level,"Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a week,69,"$100,000 to $ 124,999"
Male,Alberta,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,46,"$100,000 to $ 124,999"
Male,Alberta,Not satisfied at all,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a month,57,"$125,000 and more"
Female,Manitoba,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),Not at all,39,"$100,000 to $ 124,999"
Male,Manitoba,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a month,40,"$125,000 and more"
Male,Manitoba,Fairly satisfied,University certificate or diploma below the bachelor's level,"Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a week,46,"$125,000 and more"
Male,Manitoba,Not very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),Not at all,35,"$$75,000 to $99,999"
Female,Saskatchewan,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,57,"$$75,000 to $99,999"
Male,Alberta,Not very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a week,29,"$$75,000 to $99,999"
Female,Newfoundland and Labrador,Not very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,50,"$125,000 and more"
Male,Prince Edward Island,Fairly satisfied,"University certificate, diploma or degree above the bach...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,61,"$125,000 and more"
Female,Prince Edward Island,Very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...",Liberal (Grits),Not at all,31,"$$75,000 to $99,999"
Female,Prince Edward Island,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...",Liberal (Grits),Not at all,50,"$$75,000 to $99,999"
Male,Prince Edward Island,Fairly satisfied,High school diploma or a high school equivalency certificate,Other,Not at all,32,"Less than $25,000"
Male,Nova Scotia,Fairly satisfied,University certificate or diploma below the bachelor's level,Liberal (Grits),At least once a year,28,"$25,000 to $49,999"
Female,Nova Scotia,Not very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,48,"$$75,000 to $99,999"
Male,Nova Scotia,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...",Green Party (Greens),Not at all,27,"$25,000 to $49,999"
Male,Nova Scotia,Fairly satisfied,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a week,38,"Less than $25,000"
Male,Nova Scotia,Very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a month,47,"$25,000 to $49,999"
Male,Nova Scotia,Fairly satisfied,High school diploma or a high school equivalency certificate,"(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a year,19,"$25,000 to $49,999"
Male,Nova Scotia,Fairly satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),At least once a week,61,"$100,000 to $ 124,999"
Male,Saskatchewan,Not satisfied at all,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,65,"$$75,000 to $99,999"
Male,Saskatchewan,Not very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,36,"$100,000 to $ 124,999"
Female,Saskatchewan,Not very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...",People's Party,At least once a year,63,"$$75,000 to $99,999"
Male,Saskatchewan,Very satisfied,University certificate or diploma below the bachelor's level,Liberal (Grits),Not at all,40,"$100,000 to $ 124,999"
Male,Quebec,Fairly satisfied,High school diploma or a high school equivalency certificate,Liberal (Grits),Not at all,35,"$125,000 and more"
Female,New Brunswick,Not very satisfied,University certificate or diploma below the bachelor's level,"Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,45,"$$75,000 to $99,999"
Male,Nova Scotia,Fairly satisfied,"University certificate, diploma or degree above the bach...",Green Party (Greens),At least once a week,60,"$$75,000 to $99,999"
Male,British Columbia,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...",Liberal (Grits),Not at all,65,"$125,000 and more"
Male,British Columbia,Very satisfied,"University certificate, diploma or degree above the bach...","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,72,"$$75,000 to $99,999"
Female,British Columbia,Very satisfied,Less than high school diploma or its equivalent,"Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a month,34,"$25,000 to $49,999"
Female,British Columbia,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,45,"$125,000 and more"
Male,Ontario,Very satisfied,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,53,"$125,000 and more"
Male,Ontario,Fairly satisfied,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a month,60,"$25,000 to $49,999"
Male,Ontario,Fairly satisfied,"University certificate, diploma or degree above the bach...","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,65,"$125,000 and more"
Female,Ontario,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),At least once a week,45,"$125,000 and more"
Male,Ontario,Very satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),At least once a year,51,"$125,000 and more"
Male,Ontario,Not very satisfied,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,38,"$50,000 to $74,999"
Male,Ontario,Fairly satisfied,University certificate or diploma below the bachelor's level,Liberal (Grits),At least once a year,52,"$125,000 and more"
Female,Ontario,Very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),At least once a month,63,"Less than $25,000"
Female,Ontario,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a year,58,"$50,000 to $74,999"
Male,Ontario,Not satisfied at all,"University certificate, diploma or degree above the bach...",Green Party (Greens),At least once a month,73,"$50,000 to $74,999"
Male,Ontario,Fairly satisfied,"University certificate, diploma or degree above the bach...","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,62,"$$75,000 to $99,999"
Female,Ontario,Fairly satisfied,University certificate or diploma below the bachelor's level,Liberal (Grits),Not at all,58,"$125,000 and more"
Male,Ontario,Very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),At least once a year,49,"$125,000 and more"
Female,Ontario,Fairly satisfied,"University certificate, diploma or degree above the bach...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,59,"$125,000 and more"
Male,Ontario,Fairly satisfied,University certificate or diploma below the bachelor's level,"Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,65,"$125,000 and more"
Male,Manitoba,Not very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,53,"$$75,000 to $99,999"
Male,Saskatchewan,Not very satisfied,High school diploma or a high school equivalency certificate,People's Party,Not at all,55,"$50,000 to $74,999"
Female,Saskatchewan,Fairly satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),At least once a week,41,"$50,000 to $74,999"
Female,Saskatchewan,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a week,55,"$125,000 and more"
Male,Saskatchewan,Fairly satisfied,"University certificate, diploma or degree above the bach...","(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a month,68,"Less than $25,000"
Female,Alberta,Very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,31,"$125,000 and more"
Female,Alberta,Very satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),At least once a week,44,"$100,000 to $ 124,999"
Male,Alberta,Fairly satisfied,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,47,"Less than $25,000"
Female,Alberta,Very satisfied,Less than high school diploma or its equivalent,"Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,33,"$$75,000 to $99,999"
Male,Quebec,Not very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Bloc Québécois (BQ, PQ, Bloc, Parti Québécois)",At least once a year,59,"$25,000 to $49,999"
Female,Quebec,Not very satisfied,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,59,"$25,000 to $49,999"
Female,Quebec,Very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),Not at all,51,"$50,000 to $74,999"
Male,Quebec,Fairly satisfied,High school diploma or a high school equivalency certificate,Liberal (Grits),Not at all,37,"$125,000 and more"
Male,Quebec,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),At least once a year,44,"$125,000 and more"
Female,Quebec,Not satisfied at all,"College, CEGEP, trade certificate or other non-university certificate or di...",Liberal (Grits),At least once a month,59,"$50,000 to $74,999"
Male,Quebec,Very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Bloc Québécois (BQ, PQ, Bloc, Parti Québécois)",At least once a year,49,"$125,000 and more"
Female,Quebec,Fairly satisfied,University certificate or diploma below the bachelor's level,Liberal (Grits),Not at all,39,"$125,000 and more"
Female,Quebec,Fairly satisfied,"University certificate, diploma or degree above the bach...",Green Party (Greens),At least once a year,39,"$25,000 to $49,999"
Male,Quebec,Not very satisfied,"University certificate, diploma or degree above the bach...",Green Party (Greens),Not at all,41,"$125,000 and more"
Male,Newfoundland and Labrador,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...",Liberal (Grits),At least once a month,47,"$125,000 and more"
Male,Alberta,Not very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,37,"$100,000 to $ 124,999"
Male,Newfoundland and Labrador,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,49,"$125,000 and more"
Female,Newfoundland and Labrador,Fairly satisfied,"University certificate, diploma or degree above the bach...","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,45,"$125,000 and more"
Male,Prince Edward Island,Not satisfied at all,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Green Party (Greens),Not at all,26,"$50,000 to $74,999"
